寺院,标题,人数,对象,发布日期,截止报名日期,活动日期,官网,发布渠道,,,,,,,,,,,,,,,,,,,,,,,,,,
雪窦寺,浙江宁波雪窦山浙江佛学院国学夏令营通启,,,43626,2019年6月15日,2019年7月1日—7月7日,,http://wx.xishange.org/detail.php?wzid=3002,,,,,,,,,,,,,,,,,,,,,,,,,,
成都文殊院,文殊院第16届“智慧之旅”禅修营开始报名了！,,18至40岁，高中以上文化水平。身体健康，无重大疾病。恭敬三宝，尊重僧团。随众共修，中途不得退出。,43609,6月27日,2019年7月16日—21日,,http://konglin.net/klzx/11673.html,,,,,,,,,,,,,,,,,,,,,,,,,,
柏林禅寺,第二十六届生活禅夏令营,,18-30岁之间、具有大专以上文化水平的男女青年。,,6月20日,2019年7月20日-7月26日,,http://www.bailinsi.net/index.php/Home/News/newsxq/id/1190.html,,,,,,,,,,,,,,,,,,,,,,,,,,
鸡足山大士阁报恩寺,大学生佛学夏令营,100,,43540,,2019年07月21日至2019年08月19日（30天）,,http://www.sohu.com/a/301786567_700423?sec=wd,,,,,,,,,,,,,,,,,,,,,,,,,,
台州延恩讲寺,2019年浙江台州第十届佛教天台宗文化体验营暨第十三届佛教青年夏令营活动通告,50,浙江台州涌泉延恩讲寺丁班：年龄在18——35周岁。,43615,2019年7月6日,2019年7月22日-7月28日,,http://wx.xishange.org/detail.php?wzid=2961,,,,,,,,,,,,,,,,,,,,,,,,,,
江南书院,国学夏令营之第十二期儒学研修营,50,18周岁以上大学生及热爱国学的有志青年,43616,,2019年7月22日至29日,,https://www.rujiazg.com/article/16468,,,,,,,,,,,,,,,,,,,,,,,,,,
广州华严寺,2019年7月广东廣州華嚴寺第九屆“華嚴心”禪行之旅開始報名啦,,十八至三十五岁，身体健康，无传染性疾病；对佛教感兴趣有信仰的在读大学生或已毕业的大学生皆可。,43629,,2019年7月25日——2019年7月31日,,http://wx.xishange.org/detail.php?wzid=3020,,,,,,,,,,,,,,,,,,,,,,,,,,
五台山大圣竹林寺,竹林通啟 | 2019年第十五屆清涼之旅研修班七月開班,,18至45歲之間，具有高中以上學歷，男女不限。,,2019年7月13日,2019 年 7 月 27 日至 8 月 2 日,,https://kknews.cc/zh-hk/travel/5nxyo98.html,,,,,,,,,,,,,,,,,,,,,,,,,,
鼓山涌泉寺,福州鼓山涌泉寺第三届 “禅净大家庭”学修营通启,,年龄22-55周岁，佛学、传统文化爱好者优先、佛学零基础者亦可报名,,2019年7月20日,2019年7月28日至8月3日,,https://www.pusa123.com/pusa/news/hdyugao/122350.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州灵隐寺,体验丛林生活 杭州灵隐寺2019【禅行天下】修学营招募（地点:东阳天宝禅寺）,,,43627,,2019年7月29日—8月4日,,http://www.ichanfeng.com/2019/06/11/21220.html,,,,,,,,,,,,,,,,,,,,,,,,,,
佛光山,国际青年生命禅学营,500,18~35歲全球大專院校青年。,41772,2019年4月30日,2019年7月31日~8月7日,,https://www.fgs.org.tw/events/lifeandchan/index_tw.html,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波天童禅寺,宁波天童禅寺第十三届“天童文化体验营”报名通启,,对中华传统文化有兴趣的年青人，年龄18-40岁之间，高中以上学历,,7月25日,2019年8月2日至8月8日止,,https://www.pusa123.com/pusa/news/hdyugao/122555.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,
东林寺,第十六届彼岸行夏令营报名公告,480,年龄18-35岁、高中以上文化程度,43619,7月15日,2019年8月4至10日,,http://www.donglin.org/news/gonggao/2019/0602/12134.html,,,,,,,,,,,,,,,,,,,,,,,,,,
北海禅院,2019北海禅院最美禅之旅邀请函,,,43606,2019年6月30日,"第一期：2019年8月3日-8月10日
第二期：2019年8月13日-8月20日",,https://mp.weixin.qq.com/s?__biz=MjM5NDE4OTIyMw==&mid=507247872&idx=1&sn=773a99b384bbce951c2945c6b94b5cd3&chksm=3d44c7c80a334ede1322d73fb88c83137661927f1467858536ce310095919bf298d5731a87de&mpshare=1&scene=1&srcid=0521076k2CPsBL9TQ89r9xKR&key=dd5051400a9fb58f34a56e564b2a32528a4182738333147fcc9c933f0aa224e52ffce7f845e512f6288a2c18831740d9ca7940dc39064fbe19c7b5b6c7ce5d62aba93045bfa26fe0693a417659657c0e&ascene=1&uin=MTYwMDczNjEwMg%3D%3D&devicetype=Windows+10&version=62060739&lang=zh_CN&pass_ticket=bZKJIgAcHJ5yZ24kqT7A77yEzVeFY1LXIrXsdaknAHzM13p7Od2wbG56oIT4FM78,,,,,,,,,,,,,,,,,,,,,,,,,,
